province,year,Tmax_b1,Tmax_b5,DTR_b4,GDD_b6,Tave_b2,DTR_b2,Tave_b1,RH_b5,Tmax_b4,SSR_b3,R5max_b4,Tmin_b3,RR10_a,Tmin_b2,GDD_b4,Tave_b4,CDD_b4,CDD_b2,Tmin_b5,R5max_b1,Tave_b3,R5max_b3,GDD_b5
Cuneo,2006,-0.8907572175287088,2.2436585217942997,1.137717477151114,1.0319746857301189,-0.3894843099117434,0.0405744334164281,-0.9647985832077828,0.2205300993873648,0.1911901659654323,0.4979767961988231,-0.6896848838922662,-0.9049373591593745,-1.722635096222047,-1.2692652734470913,-0.3654093367747776,-0.3654093367747805,-0.1741177604279568,-0.6919959037314876,1.3467695434276965,1.1646107689189054,0.1596166824465404,-1.4310392908101224,1.305729623793591
Imperia,2006,0.1623616184987036,-0.2848808009611834,0.3577005272598427,0.951669813245376,-0.629289050160546,0.3420100133568214,-0.7302116282063642,0.3305122015572077,-0.1447636654161681,0.8330372275863828,0.9234983903563097,-0.0362190935239534,-1.496984229513895,-1.7096125351292373,-0.415943368631758,-0.4159433686317587,-0.7888403559330744,-1.0503270399929483,1.441309904784731,0.8226410769072696,-0.4099739118840492,-1.5446017603395203,0.9809604095529368
Savona,2006,-0.3331708977155215,0.220680435942996,1.2882218459490489,1.014141926102078,-0.8527252183785032,0.1610169851239453,-0.8678881690942237,0.6577198463763327,0.4966005854756862,1.070459442984926,0.3543873249524353,-0.6283383962661915,-1.4847331387833007,-0.8997566622051287,-0.1162076500957158,-0.1162076500957213,-0.7349880979085897,-1.0154163953374236,1.121518945582296,0.8943274833533312,-1.136706682921142,-1.592849555255886,0.8802855912003152
Genova,2006,-0.807541879498653,0.0162860006644345,1.1346157555402263,0.9424138709582948,-1.1906424551645125,0.2571316790033035,-1.109626522386351,0.4533553192902511,0.1703908026846904,1.8233679023783225,0.4143270666746869,0.190350101332618,-0.8765781934340103,-1.422800098301768,-0.1888616675444881,-0.1888616675444882,-1.3361625103568482,-1.5236861401954644,1.0864238762957712,-0.1197707839566157,-0.6502193342367137,-1.7852234885903824,0.8382844761344562
Como,2006,-1.5994594565094624,1.8268555969158409,1.33020976145097,0.8582088139091109,-1.6446311312744586,0.1144535207025911,-1.9237516996627972,0.229132328801297,1.321081816987974,1.1711930866667453,0.5059858919696958,-0.1610757086196581,-1.6352488722349607,-1.3366743227847306,-0.4962832855028638,-0.4962832855028612,0.2812909922740996,-0.4955932461425111,1.5888732399318894,0.1041220539538716,0.3369495381281572,-1.7500756940342974,1.4706571000468642
Bergamo,2006,-1.6086155152160202,1.6691217651559875,0.73916505183544,0.9409249705026176,-1.6981538929439557,-0.0208107532179481,-1.7925220225011953,0.0979993058539517,0.9687132517596732,1.618427330441485,0.1019453755270028,-0.1558033323526517,-1.4759926674596628,-1.3420492951428296,-0.7678004335372569,-0.7678004335372647,0.3536762607237639,-0.5083970981642302,1.5261178003904423,-0.0046245792357788,0.1281628940967069,-1.978333669077581,1.4571540726722212
Brescia,2006,-1.6682044617317568,1.454405327830599,0.3890387202044651,1.030623027504594,-1.6678108417874602,0.1444023033498238,-1.7283518538482858,-0.0304354159000014,0.9959700384429212,1.6612550879900747,-0.0501506307711353,-0.2820817217906337,-1.49469332060889,-1.785465160179461,-0.7968115099022114,-0.796811509902211,0.3883685545498493,-0.7523655193233048,1.1348362229278195,-0.0719766785852933,-0.0558748201681963,-1.7876679784732945,1.4098637745246003
Mantova,2006,-1.2496307667192228,0.8388935154124952,-0.1432205417500941,0.7445603613650317,-1.558911222143268,-0.3192346691526657,-1.3178692290346716,0.2301086721241405,0.1631663545644411,1.7195537884032368,-0.1205404566937773,-0.5428818313945305,-1.181163788625124,-1.0347706620533277,-0.8058474927184218,-0.8058474927184146,1.5080498926978836,-1.308752515614849,0.9137786464419936,-0.0868888181818764,0.1839775289659506,-1.6641833227739942,1.173540033260595
Verona,2006,-1.342052188539805,0.8554259736004908,-0.0157461847118136,0.7737984738296968,-1.6743132247492034,0.2545518419313146,-1.554224573215208,0.1573458347615476,0.3533482045755186,1.4221916384091695,0.1330110940898351,-0.810829077823822,-1.623906361568765,-1.3769943271516654,-0.8638316944299661,-0.8638316944299652,1.3178026282889672,-1.0411783004413857,0.6317264750048759,-0.2446535972719726,0.220704397578616,-1.4016820043024252,1.2242637072892306
Vicenza,2006,-0.6775464238572458,1.1132395277813527,0.3760857614249207,0.4603897947971186,-1.907322685016867,0.0226996418997491,-1.5986293090962074,0.4125458454853976,0.7711940541065536,1.3971881420607442,-0.6331057173423769,-1.2064299976231307,-1.7637010572946925,-1.436566857877895,-0.980439474136648,-0.9804394741366496,0.481297948337717,-0.6860768538689194,0.3236147077736278,-0.2956543835237342,-0.2105187264398485,-1.1655052443227103,1.3523812505286206
Treviso,2006,-0.393415742382265,0.6849895692112802,0.4387878325623737,0.3104438259079787,-1.788731033857787,-0.3158049695201058,-1.2040187054158344,0.5512176701255413,0.800064280515449,0.6884845201916175,-0.4163610633656501,-1.3938504119828448,-1.6342049371733065,-2.198354178395973,-0.8978445496742712,-0.897844549674271,0.157539829243142,-0.8273591825349442,0.2136101318662003,-0.6459745561985358,-0.7916879012345625,-0.6523972153799692,1.3448664103110228
Padova,2006,-1.0143408963458735,0.3781727856794057,0.2257240604362594,0.5449366055772521,-1.6289561826699084,0.1180359750470953,-1.160532302444552,0.5060250272252917,0.3364602714111367,1.2717884580431025,-0.1281766722671983,-1.3999341699595358,-1.6227364260953172,-1.9070646982627344,-0.7573778561449842,-0.7573778561449792,2.234887066911412,-0.7484664689248994,0.3669957583534233,-0.5805784431988436,-0.1029018991903122,-1.4128831972057774,1.1316941760621595
Bologna,2006,-0.9338971402120486,0.990518510129913,-0.4748417225499108,0.8867859254410547,-1.469940173624339,-0.1231545170602794,-1.051160125754077,-0.1300040125549235,0.0968871638183715,1.7930498385309546,-0.0396776448706056,-0.5382247338451303,-1.4831253706240914,-1.1881261979308435,-1.12149178641835,-1.121491786418357,0.1998062816616841,-1.2719488511283168,0.2235590591032656,-0.227833952837198,-0.0352698045374574,-1.1080645333563162,1.1225479060012045
Ravenna,2006,-1.2707737469584666,0.4614248605025456,-0.4589344821782343,0.8503196147510718,-1.5614339398646455,-0.1982618965449969,-1.0262613804956937,0.2346392962780772,-0.1627910100270852,1.563719459617145,0.3434724230947982,-0.8099729716442529,-1.2794184144588503,-1.3959936819286765,-1.4253496758523256,-1.4253496758523292,0.2778948004947743,-1.174516701643553,-0.3214499548923152,-0.382634349702232,-0.4001250270078522,-0.7365839760470551,0.8357156551607264
Forlì-Cesena,2006,-1.2647808760624006,0.6900147707394213,-0.7483789925786012,0.6942991363903724,-1.5610238377537942,0.2108571514977515,-0.9474190720618298,0.0716652877364451,-0.1862842633135107,1.410132002649451,0.0317648617097898,-1.134304392789395,-1.3695142242648684,-1.4181842018992543,-1.4564410629913205,-1.456441062991318,0.578092100021356,-0.7866645306321016,-0.5813427472835145,-0.4556610134278187,-0.4256174661261667,-0.6148564622281415,0.8391071485791685
Pesaro e Urbino,2006,-1.267613929460219,0.4021750691319248,-0.6763392639774315,0.7060773990840032,-1.6264731820285745,-0.1026685521824546,-1.0874473270530862,0.0801769088423298,-0.5624532376488021,1.2391922647872953,-0.4538274928555604,0.0093494323000752,-1.4042268834977971,-0.308304617315304,-1.312764154015675,-1.3127641540156798,1.1757333429919758,-0.5540465724859301,-0.6120254190180004,-0.1921616451180499,-0.5504675224046425,-0.6588117484569673,0.8270220087140768
